"project","data_type","habitat","source","scientific_name","kingdom","phylum","class","order","family","genus","species"
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Anaxyrus americanus","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus"
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Hyla versicolor",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Pseudacris crucifer","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris crucifer"
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Lithobates catesbesiana",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Lithobates clamitans",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Lithobates palustris","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates palustris"
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Lithobates pipiens","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates pipiens"
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Lithobates sylvatica",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Desmognathus fuscus fuscus",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Eurycea bislineata bislineata",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Gyrinophilus porphyriticus porph",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Plethodon cinereus","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Plethodon","Plethodon cinereus"
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Notophthalmus viridescens viride",,,,,,,
"HUBBARD","consumer","forest","HubbardBrookObservedAmphibians.csv","Ambystoma maculatum","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Buteo platypterus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo platypterus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Buteo lineatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo lineatus"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Aix sponsa","Animalia","Chordata","Aves","Anseriformes","Anatidae","Aix","Aix sponsa"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Chaetura pelagica","Animalia","Chordata","Aves","Apodiformes","Apodidae","Chaetura","Chaetura pelagica"
"HARVARD","consumer","forest","HarvardForestBirdsSLrev.csv","Ardea herodias","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea herodias"
